"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 25, 2013","8,096.37","8,038.21","8,119.95","7,997.36","9.79K","0.86%"
"Dec 24, 2013","8,027.43","8,017.25","8,125.49","7,958.37","7.08K","0.47%"
"Dec 23, 2013","7,989.51","7,991.34","8,023.16","7,903.08","7.09K","0.29%"
"Dec 20, 2013","7,966.72","8,169.22","8,175.40","7,966.72","10.69K","-2.22%"
"Dec 19, 2013","8,147.70","8,263.69","8,276.94","8,143.78","7.08K","-1.08%"
"Dec 18, 2013","8,236.95","8,220.33","8,259.08","8,194.00","6.13K","0.29%"
"Dec 17, 2013","8,213.43","8,282.26","8,292.59","8,207.32","6.63K","-0.72%"
"Dec 16, 2013","8,272.67","8,441.11","8,446.34","8,271.86","10.08K","-1.86%"
"Dec 13, 2013","8,429.82","8,323.40","8,467.28","8,317.34","7.29K","0.35%"
"Dec 12, 2013","8,400.65","8,391.76","8,443.79","8,360.77","7.06K","-0.11%"
"Dec 11, 2013","8,409.80","8,496.44","8,497.86","8,365.62","10.40K","-1.69%"
"Dec 10, 2013","8,554.17","8,534.34","8,597.19","8,510.00","13.52K","0.40%"
"Dec 09, 2013","8,519.67","8,562.34","8,593.67","8,487.89","8.72K","-0.08%"
"Dec 06, 2013","8,526.68","8,555.39","8,586.15","8,491.62","9.47K","-0.40%"
"Dec 05, 2013","8,560.79","8,598.42","8,629.20","8,545.04","13.07K","-0.47%"
"Dec 04, 2013","8,600.82","8,482.40","8,648.01","8,460.06","14.70K","1.28%"
"Dec 03, 2013","8,492.52","8,353.79","8,514.92","8,340.21","10.49K","1.38%"
"Dec 02, 2013","8,376.64","8,461.49","8,593.99","8,355.99","17.06K","-1.94%"
"Nov 29, 2013","8,542.61","8,552.18","8,573.35","8,520.11","9.82K","-0.07%"
"Nov 28, 2013","8,548.37","8,471.26","8,630.38","8,463.89","15.05K","1.19%"
"Nov 27, 2013","8,447.46","8,353.08","8,478.31","8,347.81","10.75K","0.98%"
"Nov 26, 2013","8,365.35","8,364.52","8,408.61","8,337.19","8.50K","-0.17%"
"Nov 25, 2013","8,379.55","8,351.83","8,479.57","8,340.33","10.90K","-0.40%"
"Nov 22, 2013","8,413.34","8,496.48","8,508.60","8,405.46","13.73K","-0.69%"
"Nov 21, 2013","8,472.02","8,469.53","8,501.65","8,353.67","15.06K","-0.45%"
"Nov 20, 2013","8,510.68","8,546.40","8,564.21","8,435.77","11.81K","0.58%"
"Nov 19, 2013","8,461.21","8,517.12","8,521.25","8,430.73","11.28K","-0.73%"
"Nov 18, 2013","8,523.75","8,356.91","8,526.70","8,328.86","15.38K","2.62%"
"Nov 15, 2013","8,305.91","8,163.95","8,418.73","8,162.78","13.58K","1.83%"
"Nov 14, 2013","8,156.53","8,131.64","8,162.62","8,054.96","9.18K","0.56%"
"Nov 13, 2013","8,110.99","8,221.13","8,227.99","8,103.49","8.77K","-2.03%"
"Nov 12, 2013","8,279.31","8,179.03","8,298.67","8,167.47","9.84K","1.35%"
"Nov 11, 2013","8,168.67","8,142.39","8,208.91","8,082.24","7.95K","0.16%"
"Nov 08, 2013","8,155.40","8,185.61","8,250.04","8,126.80","9.31K","-1.03%"
"Nov 07, 2013","8,240.25","8,277.89","8,300.76","8,187.05","9.49K","-0.57%"
"Nov 06, 2013","8,287.86","8,409.87","8,434.95","8,285.85","10.68K","-1.94%"
"Nov 05, 2013","8,451.73","8,357.57","8,460.18","8,269.73","10.45K","0.41%"
"Nov 04, 2013","8,416.93","8,493.31","8,524.48","8,395.30","9.04K","-0.41%"
"Nov 01, 2013","8,451.72","8,433.76","8,493.38","8,370.87","11.92K","0.09%"
"Oct 31, 2013","8,444.41","8,516.15","8,549.76","8,428.36","18.28K","-1.27%"
"Oct 30, 2013","8,553.37","8,402.65","8,559.77","8,377.96","17.85K","1.84%"
"Oct 29, 2013","8,398.92","8,352.17","8,504.57","8,214.54","22.64K","0.75%"
"Oct 28, 2013","8,336.68","8,398.25","8,411.81","8,297.66","14.55K","-0.51%"
"Oct 25, 2013","8,379.61","8,488.34","8,570.28","8,325.86","15.53K","-1.26%"
"Oct 24, 2013","8,486.52","8,486.11","8,550.86","8,423.95","12.38K","-0.31%"
"Oct 23, 2013","8,512.96","8,640.80","8,719.63","8,492.69","17.95K","-1.24%"
"Oct 22, 2013","8,619.64","8,727.67","8,744.80","8,596.02","18.33K","-1.37%"
